web-scraper-order,web-scraper-start-url,Name,Units Sold,Price
1759480746-1,https://shopee.com.my/glamstory#product_list,THE SAEM Cover Perfection Tip Concealer SPF28/PA++ 6.5g [GLAM],2k+ sold,16.00
1759480746-2,https://shopee.com.my/glamstory#product_list,LUNA Long Lasting Tip Concealer Cover Fit 7.5g [GLAM],10k+ sold,31.74
1759480746-3,https://shopee.com.my/glamstory#product_list,THE SAEM Cover Perfection Pot Concealer 4g [GLAM],1k+ sold,18.00
1759480746-4,https://shopee.com.my/glamstory#product_list,NATURIE Hatomugi Skin Conditioner Toner 500ml / Milk Lotion 230ml / Gel 180g [GLAM],10k+ sold,6.00
1759480746-5,https://shopee.com.my/glamstory#product_list,MEDIPEEL Melanon X Cream 30ml [GLAM],10k+ sold,53.90
1759480746-6,https://shopee.com.my/glamstory#product_list,AXIS-Y Dark Spot Correcting Glow Serum / Physical Sunscreen V3 / Blemish Treatment / Cleanser / Toner / Eye Serum,100k+ sold,3.48
1759480746-7,https://shopee.com.my/glamstory#product_list,SOME BY MI Yuja Niacin 30 Days Brightening Toner / Blemish Serum / Gel Cream / Sleeping Mask / Stick / Cleanser,20k+ sold,37.59
1759480746-8,https://shopee.com.my/glamstory#product_list,COSRX Salicylic Acid Daily Gentle Cleanser 50ml / 150ml [GLAM],60k+ sold,19.35
1759480746-9,https://shopee.com.my/glamstory#product_list,SOME BY MI Snail Truecica Miracle Repair Cleanser / Toner / Serum / Cream SOMEBYMI [GLAM],10k+ sold,39.47
1759480746-10,https://shopee.com.my/glamstory#product_list,TATAGALTIER Bulaney Treatment Essence / Cherpaire Cleansing Balm / Cella Grail Cleansing Gel / Celaney Fortifying Serum,10k+ sold,25.00
1759480746-11,https://shopee.com.my/glamstory#product_list,Mise En Scene Perfect Serum Shampoo / Conditioner 680ml,9k+ sold,29.90
1759480746-12,https://shopee.com.my/glamstory#product_list,INNISFREE No Sebum Mineral Powder 5g [GLAM],20k+ sold,26.50
1759480746-13,https://shopee.com.my/glamstory#product_list,ETUDE HOUSE Fixing Tint 4g [GLAM],20k+ sold,25.37
1759480746-14,https://shopee.com.my/glamstory#product_list,ANJO Professional SPF 50+ PA+++ 365 Sun Cream 70g [GLAM],100k+ sold,9.99
1759480746-15,https://shopee.com.my/glamstory#product_list,3W CLINIC Intensive UV Sunblock Cream / Collagen / Vita Moist / Multi Protection / Aloe / Green Tea Sunscreen 70ml,300k+ sold,8.91
1759480746-16,https://shopee.com.my/glamstory#product_list,PRAMY Moisturizing Makeup Setting Spray Dewy Finish & Matte Finish 30ml / 65ml / 100ml,10k+ sold,19.90
1759480746-17,https://shopee.com.my/glamstory#product_list,YELLO Oatmeal Turmeric Mask Scrub / Exfoliating Gel Cleanser / Snowmeric Brightening Serum / Refreshing Cleanser [GLAM],10k+ sold,12.20
1759480746-18,https://shopee.com.my/glamstory#product_list,TO Glycolic Acid 7% Toning Solution 240ml / Repack Trial 50ml,2k+ sold,15.00
1759480746-19,https://shopee.com.my/glamstory#product_list,BEAUTY OF JOSEON Relief Sun : Rice + Probiotics / Aqua-Fresh Rice + B5 /Matte Sun Stick / Ginseng Moist Sun Serum SPF50+,30k+ sold,1.00
1759480746-20,https://shopee.com.my/glamstory#product_list,ETUDE HOUSE My Lash Serum 9g [GLAM],50k+ sold,11.90
1759480746-21,https://shopee.com.my/glamstory#product_list,AZARINE Hydrasoothe Sunscreen Gel SPF45 PA++++ 30ml / 50ml [GLAM],10k+ sold,17.85
1759480746-22,https://shopee.com.my/glamstory#product_list,DAUGHTERS OF MALAYA Blemish Cleanser / Recovery Serum / Sulfur Lotion  / Sunscreen / Ceramide Moisturiser 50ml / 185ml,8k+ sold,29.00
1759480746-23,https://shopee.com.my/glamstory#product_list,COSRX AHA / BHA Clarifying Treatment Toner 30ml / 50ml / 150ml [GLAM],5k+ sold,5.00
1759480746-24,https://shopee.com.my/glamstory#product_list,NATURE REPUBLIC Soothing & Moisture Aloe Vera 92% Soothing Gel Mist 155ml / 250ml / 300ml [GLAM],10k+ sold,12.90
1759480746-25,https://shopee.com.my/glamstory#product_list,"LUNA Long Lasting Tip Concealer Fixing-Fit 7.5g SPF 34, PA++",29 sold,33.00
1759480746-26,https://shopee.com.my/glamstory#product_list,DR. ALTHEA 147 Barrier Cream / 345 Relief Cream 50ml,2k+ sold,76.00
1759480746-27,https://shopee.com.my/glamstory#product_list,SOME BY MI Miracle Starter Kit / Snail Kit / AC SOS Kit / Yuja Kit / Matcha Kit / Serum Kit / Panthenol Kit SOMEBYM,30k+ sold,39.50
1759480746-28,https://shopee.com.my/glamstory#product_list,LANEIGE Lip Sleeping Mask (Berry/Grapefruit/Apple Lime/Choco Mint) 3g / 20g [GLAM],20k+ sold,1.00
1759480746-29,https://shopee.com.my/glamstory#product_list,ANUA Heartleaf 77% Soothing Toner Clear Pad 40ml / 160ml / 250ml / 500ml [GLAM],10k+ sold,5.85
1759480746-30,https://shopee.com.my/glamstory#product_list,SOME BY MI Retinol Intense / Galactomyces Glutathione / Beta Panthenol / Yuja Niacin Daily Mask (30ea) 350ml,10k+ sold,58.00
1759480746-31,https://shopee.com.my/glamstory#product_list,COSRX Advance Snail 96 Mucin Power Essence 20ml / 100ml [GLAM] EXP,40k+ sold,39.90
1759480746-32,https://shopee.com.my/glamstory#product_list,ANUA Heartleaf Pore Control Cleansing Oil Mild 20ml / 200ml [GLAM],2k+ sold,11.90
1759480746-33,https://shopee.com.my/glamstory#product_list,MISE EN SCENE Perfect Hair Repair Serum 80ml Original Rose Styling Super Rich Coco Watery [GLAM],55 sold,36.00
1759480746-34,https://shopee.com.my/glamstory#product_list,ETUDE HOUSE Drawing Eye Brow Eyebrow Pencil [GLAM],20k+ sold,9.80
1759480746-35,https://shopee.com.my/glamstory#product_list,INNISFREE Auto Eyebrow Pencil 0.3g [GLAM],10k+ sold,13.30
1759480746-36,https://shopee.com.my/glamstory#product_list,BEAUTY OF JOSEON Ginseng Essence Water 40ml / 150ml [GLAM],8k+ sold,16.00
1759480746-37,https://shopee.com.my/glamstory#product_list,FOODAHOLIC Nature Skin Mask 23ml [GLAM],60k+ sold,1.20
1759480746-38,https://shopee.com.my/glamstory#product_list,COSRX Low PH Good Morning Gel Cleanser 50ml / 150ml [GLAM],30k+ sold,13.90
1759480746-39,https://shopee.com.my/glamstory#product_list,MEDICUBE Zero Pore Pad 2.0 / Red Succinic Acid Peeling / Vita C / PDRN Pink Pad  (70EA) 155g,4k+ sold,59.90
1759480746-40,https://shopee.com.my/glamstory#product_list,HOUSE OF HUR Moist Ampoule Blusher 10ml / 20ml [GLAM],944 sold,19.90
1759480746-41,https://shopee.com.my/glamstory#product_list,AXIS-Y Dark Spot Correcting Glow Serum 1.2ml / 5ml [GLAM],10k+ sold,1.00
1759480746-42,https://shopee.com.my/glamstory#product_list,ANJO Professional 365 Sun Natual Cover Snail Sun BB Cream SPF 50+ PA+++ 50ml [GLAM],7k+ sold,13.17
1759480746-43,https://shopee.com.my/glamstory#product_list,ETUDE HOUSE Play 101 Stick Contour Duo,33 sold,35.65
1759480746-44,https://shopee.com.my/glamstory#product_list,Mise En Scene Hello Bubble Foam Color Hair Dye,228 sold,28.50
1759480746-45,https://shopee.com.my/glamstory#product_list,MARY & MAY Cica Tea Tree / Niacinamide Vit-C / Collagen Peptide / Hyaluronic / Idebenone Mask (20/30pcs) [GLAM],8k+ sold,43.00
1759480746-46,https://shopee.com.my/glamstory#product_list,PURITO Seoul Mighty Bamboo Panthenol Serum 30ml / Cleanser 150ml / Cream 100ml,903 sold,49.90
1759480746-47,https://shopee.com.my/glamstory#product_list,LANEIGE Water Sleeping Mask Original Lavender 15ml Cica 10ml [GLAM],20k+ sold,1.00
1759480746-48,https://shopee.com.my/glamstory#product_list,3W CLINIC Intensive UV Sunstick Balm SPF50+ PA++++ 10g [GLAM],10k+ sold,1.90
1759480746-49,https://shopee.com.my/glamstory#product_list,MARY & MAY Tranexamic Acid + Glutathion Eye Cream 30g / 12g [GLAM],496 sold,15.00
1759480746-50,https://shopee.com.my/glamstory#product_list,SOME BY MI AHA. BHA. PHA 30 Days Miracle Toner 150ML / 30ML SOMEBYMI [GLAM],50k+ sold,15.00
1759480746-51,https://shopee.com.my/glamstory#product_list,TO Niacinamide / Alpha Arbutin / Hyaluronic Acid 30ml [GLAM],1k+ sold,39.00
1759480746-52,https://shopee.com.my/glamstory#product_list,JUMISO Snail Mucin 95 + Peptide Facial Essence 5ml / 50ml / 140ml [GLAM],10k+ sold,39.00
1759480746-53,https://shopee.com.my/glamstory#product_list,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 30ml / 50ml / 100ml,642 sold,28.80
1759480746-54,https://shopee.com.my/glamstory#product_list,ETUDE HOUSE Dear Darling Water Tint 10g [GLAM],5k+ sold,10.71
1759480746-55,https://shopee.com.my/glamstory#product_list,ZAEM'S The Tonic Lab Hydra Scalp Refresher / Hair Growth Accelerator Essence 50ml / 100ml [GLAM],6k+ sold,16.80
1759480746-56,https://shopee.com.my/glamstory#product_list,TIA'M My Signature Vita B5 Toner 180ml TIAM [GLAM],327 sold,31.90
1759480746-57,https://shopee.com.my/glamstory#product_list,ETUDE HOUSE Dr. Mascara Fixer For Super Long / Perfect Lash 6ml [GLAM],20k+ sold,16.50
1759480746-58,https://shopee.com.my/glamstory#product_list,HEIMISH All Clean Balm Mandarin 50ml / 120ml [GLAM],10k+ sold,34.65
1759480746-59,https://shopee.com.my/glamstory#product_list,SOME BY MI Real Care Mask (1 Sheet) 10 Type To Choose SOMEBYMI [GLAM],40k+ sold,1.00
1759480746-60,https://shopee.com.my/glamstory#product_list,ANUA Heartleaf Succinic Moisture / Quercetinol Pore Deep Cleansing Foam 150ml [GLAM],229 sold,33.00
1759480746-61,https://shopee.com.my/glamstory#product_list,ETUDE HOUSE Dear Darling Water Gel Tint 5g [GLAM],10k+ sold,19.62
1759480746-62,https://shopee.com.my/glamstory#product_list,ETUDE HOUSE Bling Bling Eye Stick 1.4g [GLAM],4k+ sold,15.00
1759480746-63,https://shopee.com.my/glamstory#product_list,SKIN1004 Madagascar Centella Ampoule / Cleansing Oil / Toner / Cream / Foam,7k+ sold,14.85
1759480746-64,https://shopee.com.my/glamstory#product_list,ISNTREE Hyaluronic Acid Airy Sun Stick / Natural Sun Cream / Watery Sun Gel SPF50+ PA++++ 10ml / 50ml 22g [GLAM] EXP,9k+ sold,1.98
1759480746-65,https://shopee.com.my/glamstory#product_list,INNISFREE Pore Blur Powder 11g / Pore Blur Pact 12.5g [GLAM],1k+ sold,49.00
1759480746-66,https://shopee.com.my/glamstory#product_list,THE RAW. Rough & Bumpy / Hydrating / Acne Ceramides Cleanser 80g / 150g,852 sold,35.90
1759480746-67,https://shopee.com.my/glamstory#product_list,3W CLINIC BB Cream Sunscreen UV Sun Block SPF50 PA+++ 50ml,3k+ sold,12.15
1759480746-68,https://shopee.com.my/glamstory#product_list,SKINFOOD Carrot Carotene Calming Water Pad 10g / 250g [GLAM],2k+ sold,7.91
1759480746-69,https://shopee.com.my/glamstory#product_list,BEAUTY OF JOSEON Red Bean Refreshing Pore Mask / Water Gel,1k+ sold,45.78
1759480746-70,https://shopee.com.my/glamstory#product_list,"Woman Jewelry 925 Silver Plated Chain, Necklasces , Ankle Chain, Leg, Rantai kaki, Gelang Kaki",34 sold,1.00
1759480746-71,https://shopee.com.my/glamstory#product_list,INNISFREE Jeju Cherry Blossom Tone Up / Jelly Cream Lotion 50ml / 100ml Cleanser 120ml [GLAM],820 sold,58.85
1759480746-72,https://shopee.com.my/glamstory#product_list,BEAUTY OF JOSEON Revive Serum / Glow Serum / Calming Serum / Glow Deep Serum 10ml / 30ml [GLAM],8k+ sold,19.90
1759480746-73,https://shopee.com.my/glamstory#product_list,AXIS-Y Mini Glow Set [GLAM],6k+ sold,3.90
1759480746-74,https://shopee.com.my/glamstory#product_list,ALWAYS BE PURE Forest Therapy Ultra Calming Cream 15ml / 30ml / 80ml [GLAM],10k+ sold,33.90
1759480746-75,https://shopee.com.my/glamstory#product_list,IUNIK Centella Calming Gel Cream 60ml / 15ml /1.5ml [GLAM],20k+ sold,18.00
1759480746-76,https://shopee.com.my/glamstory#product_list,DR. MELAXIN TX-Cream (Tranexamic Acid + NIacinamide) 50ml / TX-Ampoule 30ml,10k+ sold,70.00
1759480746-77,https://shopee.com.my/glamstory#product_list,"KAYMAN BEAUTY Coalface Soap , COALBERRY CLEANSER, Rosa Glow Essence , Skintella Serum, HoneyGlo, Hyalu Melon Mist Toner",7k+ sold,32.70
1759480746-78,https://shopee.com.my/glamstory#product_list,Skin Care Sample Samples Gifts Random [GLAM],6k+ sold,1.00
1759480746-79,https://shopee.com.my/glamstory#product_list,PYUNKANG YUL Essence Toner 30ml / 100ml / 200ml / Pouch [GLAM],10k+ sold,10.00
1759480746-80,https://shopee.com.my/glamstory#product_list,AXIS-Y Complete No Stress Physical Sunscreen V3 (New Version) / Biome Double Defense SPF50+ PA++++ 10ml / 50ml [GLAM],7k+ sold,11.90
1759480746-81,https://shopee.com.my/glamstory#product_list,SOME BY MI AHA BHA PHA 30 Days Miracle Acne Clear Foam 50ml / 100ml [GLAM],10k+ sold,18.26
1759480746-82,https://shopee.com.my/glamstory#product_list,COSRX Hydrium Watery Toner 150ml / Full Fit Propolis Toner 150ml / AHA BHA Vitamin C Daily Toner 150ml [GLAM],355 sold,39.00
1759480746-83,https://shopee.com.my/glamstory#product_list,INNISFREE Green Tea Hydration Amino Cleansing Foam /  Skin / Lotion / Serum / Cream [GLAM],2k+ sold,36.00
1759480746-84,https://shopee.com.my/glamstory#product_list,SOME BY MI AHA BHA PHA 30 Days Miracle Cream 60g SOMEBYMI,10k+ sold,54.50
1759480746-85,https://shopee.com.my/glamstory#product_list,ANUA Niacinamide 10% + Tranexamic Acid TXA 4% Dark Spot Correcting Serum 30ml,915 sold,68.00
1759480746-86,https://shopee.com.my/glamstory#product_list,INNISFREE No Sebum / Pore Blur Primer 25ml [GLAM],922 sold,40.10
1759480746-87,https://shopee.com.my/glamstory#product_list,TIA'M Vita B3 Source Serum 40ml / 1.2ml TIAM [GLAM],10k+ sold,5.60
1759480746-88,https://shopee.com.my/glamstory#product_list,ROUND LAB Dokdo Cleanser 150ml / Toner 500ml / Lotion 200ml / 365 Derma Relief Sunscreen 50ml [GLAM],949 sold,39.90
1759480746-89,https://shopee.com.my/glamstory#product_list,NUMBUZIN N0.1 Pure Glass Clean / N0.3 Porcelain Base-Skip Tone Up SPF50+ PA++++ 50ml [GLAM],719 sold,49.90
1759480746-90,https://shopee.com.my/glamstory#product_list,SOME BY MI Retinol Intense Reactivating Eye Cream / Serum SOMEBYMI [GLAM],5 sold,11.50
1759480746-91,https://shopee.com.my/glamstory#product_list,BEAUTY OF JOSEON Ginseng Cleansing Oil 210ml [GLAM],987 sold,52.18
1759480746-92,https://shopee.com.my/glamstory#product_list,3W CLINIC Fresh Mask Sheet 23g [GLAM],70k+ sold,0.88
1759480746-93,https://shopee.com.my/glamstory#product_list,Forever Living Products Aloe Ever-Shield Deodorant Stick [GLAM],1k+ sold,38.50
1759480746-94,https://shopee.com.my/glamstory#product_list,SOME BY MI Galactomyces Pure Vitamin C Glow Serum 30ml SOMEBYMI [GLAM],6k+ sold,56.38
1759480746-95,https://shopee.com.my/glamstory#product_list,ANUA Rice 70 Glow Milky Toner 250ml,177 sold,59.90
1759480746-96,https://shopee.com.my/glamstory#product_list,EQQUALBERRY Swimming Pool Toner 155ml / 300ml,141 sold,48.00
1759480746-97,https://shopee.com.my/glamstory#product_list,INNISFREE Bija Trouble Facial Foam Cleanser 150ml [GLAM],3k+ sold,26.90
1759480746-98,https://shopee.com.my/glamstory#product_list,SOME BY MI Super Matcha Pore Clean Clay Mask / Cleansing Gel  /  Tightening Toner / Serum,3k+ sold,39.47
1759480746-99,https://shopee.com.my/glamstory#product_list,SOME BY MI Glow Luminous Ampoule Mask Tea Tree Hyaluron Diamond Yuja Niacin Sheet Mask SOMEBYMI [GLAM],20k+ sold,1.00
1759480746-100,https://shopee.com.my/glamstory#product_list,NEEDS Keratin Hair Spray Serum 120ml / Tonic 70ml [GLAM],10k+ sold,26.55
1759480746-101,https://shopee.com.my/glamstory#product_list,COSRX Hydrium Watery Toner 50ml / Full Fit Propolis Toner 50ml / AHA BHA Vitamin C Refresh Daily Toner 50ml [GLAM],598 sold,16.00
1759480746-102,https://shopee.com.my/glamstory#product_list,SOME BY MI Beta Panthenol Repair Cream / Gel Cleanser / Serum / Toner / Body Cream[GLAM],5k+ sold,39.90
1759480746-103,https://shopee.com.my/glamstory#product_list,ILLIYOON Ceramide Ato Concentrate Cream / Soothing Gel / Lotion / Top To Toe Wash,10k+ sold,21.90
1759480746-104,https://shopee.com.my/glamstory#product_list,K-SECRET SEOUL 1988 Serum 30ml / Eye Cream 30ml / Cream 50ml,283 sold,66.00
