web-scraper-order,web-scraper-start-url,Name,Units sold,Price
1759480126-1,https://shopee.com.my/ippuni#product_list,FOCALLURE FA01 Highlighter & Contour Stick (11 Colours),2k+ sold,8.30
1759480126-2,https://shopee.com.my/ippuni#product_list,[CLEARANCE] Exp 17 Nov~28 Dec 2025 FOCALLURE FA01 Highlighter & Contour Stick,5k+ sold,1.00
1759480126-3,https://shopee.com.my/ippuni#product_list,[CLEARANCE] 17 Oct 2025 IRENEDA IR E04 Two Tone Glitter Eyeshadow Stick Shimmer 2 in 1 Stick Double Colors ( 5kinds),101 sold,1.00
1759480126-4,https://shopee.com.my/ippuni#product_list,FOCALLURE FA30 Liquid Foundation | Fair Light Medium Beige Tan (8shade),1k+ sold,11.50
1759480126-5,https://shopee.com.my/ippuni#product_list,YELLO Oatmeal Turmeric Mask & Scrub OTMS 150g,4k+ sold,30.00
1759480126-6,https://shopee.com.my/ippuni#product_list,PINKFLASH E01 Lock All Day Eyeliner (3kinds),5k+ sold,7.00
1759480126-7,https://shopee.com.my/ippuni#product_list,FOCALLURE FA162 Covermax Full Coverage Longlasting Matte Cushion Foundation BB Cream,41 sold,19.15
1759480126-8,https://shopee.com.my/ippuni#product_list,DR.ALTHEA 345 Relief Cream 50ml KRIM,566 sold,45.00
1759480126-9,https://shopee.com.my/ippuni#product_list,Beauty Of Joseon Relief Sun : Rice + Probiotics (SPF50+ PA++++) 10/50ml [Rice Extract+ Grain fermented],526 sold,12.39
1759480126-10,https://shopee.com.my/ippuni#product_list,FOCALLURE FA20 Three colors Bronzer Highlighter/Contour/Blush (3 kinds),591 sold,12.68
1759480126-11,https://shopee.com.my/ippuni#product_list,FOCALLURE FA15 Matte Oil Control Loose Setting Powder (10 Shade ),10k+ sold,11.90
1759480126-12,https://shopee.com.my/ippuni#product_list,"TIRTIR Mask Fit Aura Silver Grey Cushion Foundation 18g ( Dewy Finish, Semi Glow Finish, Natural Coverage)",1k+ sold,85.50
1759480126-13,https://shopee.com.my/ippuni#product_list,LANEIGE Lip Sleeping Mask 3g / 8g / 20g,20k+ sold,14.80
1759480126-14,https://shopee.com.my/ippuni#product_list,FOCALLURE F42 Soft Blush Cream Multi Use Lip Cheeks Eyes Rosy Effect Blusher (10 kinds),92 sold,15.29
1759480126-15,https://shopee.com.my/ippuni#product_list,FOCALLURE FA256 Flawless Longwear Foundation (4colours),59 sold,16.90
1759480126-16,https://shopee.com.my/ippuni#product_list,TirTir Mask Fit Red Cushion 18/4.5/1g (12 shades),2k+ sold,18.70
1759480126-17,https://shopee.com.my/ippuni#product_list,PINKFLASH L09 Watery Glam Lipgloss (9Types),587 sold,5.14
1759480126-18,https://shopee.com.my/ippuni#product_list,[CLEARANCE] Exp 14 Dec 2025 FOCALLURE FA236 Stay Matte Oil Control Pressed Powder (2colours),57 sold,6.89
1759480126-19,https://shopee.com.my/ippuni#product_list,LANEIGE Lip Sleeping Mask EX 3g,9k+ sold,13.90
1759480126-20,https://shopee.com.my/ippuni#product_list,ANUA Heartleaf Pore Control Cleansing Oil 30ml/200ml,114 sold,13.23
1759480126-21,https://shopee.com.my/ippuni#product_list,[CLEARANCE] Exp 17 Dec 2025 FOCALLURE FA210 Airy fit Lip Glaze Creamy Lip Eye Cheek Velvet Matte Lip Cream #101,20 sold,3.99
1759480126-22,https://shopee.com.my/ippuni#product_list,FOCALLURE FA F43 Pro 3D Dewy Glow Cream Highlighter Stick/ FA F44 Easy Apply Contouring Cream,39 sold,16.23
1759480126-23,https://shopee.com.my/ippuni#product_list,SKIN1004 Madagascar Centella Ampoule | Soothing Barrier 30ml/55ml/100ml,324 sold,30.00
1759480126-24,https://shopee.com.my/ippuni#product_list,PLYN Moonlit Glow Cushion Foundation [#04 Amber] Satin Finish Full Coverage Long Lasting Foundation,2 sold,59.90
1759480126-25,https://shopee.com.my/ippuni#product_list,FOCALLURE FA E11 Pro Palette Tri-color DIY Eyeshadow (16 kinds) / T23 DIY Palette Empty Eyeshadow Case,2k+ sold,10.67
1759480126-26,https://shopee.com.my/ippuni#product_list,FOCALLURE FA22 Long Lasting Matte Lipstick Colour Vampire Cosplay Halloween,2k+ sold,4.85
1759480126-27,https://shopee.com.my/ippuni#product_list,FOCALLURE FA96 Makeup Long Lasting Shine-Free Matte finish Setting Spray Lightweight Quick Absorption,217 sold,24.09
1759480126-28,https://shopee.com.my/ippuni#product_list,[NEW!] PLYN Moonlit Glow Cushion Foundation Flawless Satin Finish Full High Coverage Acne Friendly 12g,22 sold,59.90
1759480126-29,https://shopee.com.my/ippuni#product_list,[CLEARANCE] Exp Dec 2025 PYUNKANG YUL Essence Toner 100ml/200ml,10k+ sold,11.99
1759480126-30,https://shopee.com.my/ippuni#product_list,Focallure  FA208 Jelly-Clear Dewy Lip Glossy Tint （17 Type),2k+ sold,8.67
1759480126-31,https://shopee.com.my/ippuni#product_list,SKIN1004 Madagascar Centella Light Cleansing Oil 200ml,154 sold,69.80
1759480126-32,https://shopee.com.my/ippuni#product_list,[CLEARANCE] Exp Nov 2025~Jan 2026 FOCALLURE FA243 Long Wear Waterproof Ultra-slim 1.7mm Defined Gel Eyeliner  (7 Colour),7k+ sold,7.40
1759480126-33,https://shopee.com.my/ippuni#product_list,PLYN Moonlit Glow Cushion Foundation [#01 Ivory] Satin Finish Full Coverage Long Lasting Foundation,5 sold,59.90
1759480126-34,https://shopee.com.my/ippuni#product_list,PLYN Moonlit Glow Cushion Foundation [#02 Beige] Satin Finish Full Coverage Long Lasting Foundation,6 sold,59.90
1759480126-35,https://shopee.com.my/ippuni#product_list,FOCALLURE FA195 Glittering Liquid Eyeshadow  Quick-Drying Starlight Eye Shades  (7 Types),10k+ sold,7.58
1759480126-36,https://shopee.com.my/ippuni#product_list,FOCALLURE FA L15 Pro Stain Airy Matte Velvet Blur Transferproof Lip Cream (6 colours),527 sold,9.20
1759480126-37,https://shopee.com.my/ippuni#product_list,QXQY Rotate The Eyeliner Stamp Pen  [ Black Colour],4 sold,12.34
1759480126-38,https://shopee.com.my/ippuni#product_list,FOCALLURE FA150 Staymax Poreless Matte Foundation (8 shades),49 sold,14.63
1759480126-39,https://shopee.com.my/ippuni#product_list,BEAUTY OF JOSEON Relief Sun:Rice+Probiotics 50ml /Aqua Fresh/Matte Sun Stick 18g/ Ginseng Moist Sun Serum SPF50+ PA++++,5k+ sold,12.39
1759480126-40,https://shopee.com.my/ippuni#product_list,Dr.Althea 345 Relief Cream / 147 Barrier Cream 50ml,2k+ sold,45.00
1759480126-41,https://shopee.com.my/ippuni#product_list,3W Clinic Penjagaan Kulit Intensive/Collagen/Vita Moist/Premium UV Sunblock Suncream Refreshing Anti UV  SPF 50 PA+++,300k+ sold,6.70
1759480126-42,https://shopee.com.my/ippuni#product_list,JUMISO Snail Mucin 95 + Peptide Facial Essence 140ml/5ml,5k+ sold,15.00
1759480126-43,https://shopee.com.my/ippuni#product_list,TIRTIR Mask Fit Red Cushion Shade Trial Kit Sachet (1g*6ea),1k+ sold,18.80
1759480126-44,https://shopee.com.my/ippuni#product_list,DAUGHTERS OF MALAYA Summertime Ceramide Liquid Moisturizer (SCLM) 185ml/50ml,5k+ sold,30.00
1759480126-45,https://shopee.com.my/ippuni#product_list,DAUGHTERS OF MALAYA Moisturizer SCLM/Sulfur Spot Drying Lotion(SSDL)/ Jelly Cleanser/ Serum (PBRS)/ Sunscreen,10k+ sold,35.00
1759480126-46,https://shopee.com.my/ippuni#product_list,FOCALLURE FA-L14 Pro-ink Watery To Blur Lasting Lip Tint (4colours),82 sold,18.69
1759480126-47,https://shopee.com.my/ippuni#product_list,"Beauty Of Joseon Best Collection Ginseng Essence, Ginseng Eye Cream, Rice Sunscreen, Glow Serum, Cleanser",4k+ sold,15.00
1759480126-48,https://shopee.com.my/ippuni#product_list,Axis-Y Penjagaan Kulit Dark Spot Correcting Glow Serum 1.5ml/5ml / 50ml / Mini Glow Set,30k+ sold,9.29
1759480126-49,https://shopee.com.my/ippuni#product_list,JUMISO Waterfull Hyaluronic Toner 1ml/250ml,1k+ sold,49.90
1759480126-50,https://shopee.com.my/ippuni#product_list,HOUSE OF HUR Moist Ampoule Blusher 10ml/20ml (6shades),17 sold,29.90
1759480126-51,https://shopee.com.my/ippuni#product_list,PLYN Moonlit Glow Cushion Foundation Satin Finish Full Coverage Acne Friendly [#05 Sienna],1 sold,59.90
1759480126-52,https://shopee.com.my/ippuni#product_list,PINKFLASH E18 2 in 1 Glitter Shimmer All Glow Liquid Eyeshadow (5Type),6k+ sold,8.04
1759480126-53,https://shopee.com.my/ippuni#product_list,IPPUNI Kosmetik Makeup Beauty Sponge Round + Angled Soft Beauty Egg Blender Tools (gift set 2 pcs),7k+ sold,1.00
1759480126-54,https://shopee.com.my/ippuni#product_list,FOCALLURE FA08 10 Colours Eyeshadow Palette with Eyeshadow Brush (4 types),140 sold,14.49
1759480126-55,https://shopee.com.my/ippuni#product_list,ANUA Best Collection Heartleaf 77% Soothing Toner/ Clear Pad / Peach 77 Toner Cream Serum/Cleansing Oil/TXA/Sun Cream,2k+ sold,19.90
1759480126-56,https://shopee.com.my/ippuni#product_list,MARY & MAY Mask 30EA [ Niacin Vit C /Collagen Peptide/ Cica Houttuynia/Hyaluronic/ Idebenon Blackberry 20EA ],7k+ sold,30.00
1759480126-57,https://shopee.com.my/ippuni#product_list,FOODAHOLIC Multi Sun Cream SPF50+ PA+++ 70ml,10k+ sold,1.00
1759480126-58,https://shopee.com.my/ippuni#product_list,BEAUTY OF JOSEON Sunscreen Relief Sun : Rice + Probiotics SPF50+ PA++++ 10ml,771 sold,12.39
1759480126-59,https://shopee.com.my/ippuni#product_list,ANUA Heartleaf Pore Control Cleansing Oil 30ml/200ml / Mild Sensitive Skin 200ml,875 sold,13.95
1759480126-60,https://shopee.com.my/ippuni#product_list,MEDICUBE Zero Pore Pad 2.0 100ml 70pads / Deep Vita C Pad 70ea,676 sold,72.45
1759480126-61,https://shopee.com.my/ippuni#product_list,FOCALLURE FA70 Makeup Brushes Kit Soft Touching (6pcs without bag / 10pcs with bag),713 sold,19.50
1759480126-62,https://shopee.com.my/ippuni#product_list,COSRX Low pH Good Morning Gel Cleanser 150ml,1k+ sold,29.90
1759480126-63,https://shopee.com.my/ippuni#product_list,PINKFLASH L15 Water Ink Lightweight Lip Tint (9colours),434 sold,2.49
1759480126-64,https://shopee.com.my/ippuni#product_list,Biodance Bio-Collagen / Hydro Cera-nol / Vita Niacincamide / Sea Kelp Real Deep Mask (34gx4ea per box) / 1 ea,5k+ sold,15.99
1759480126-65,https://shopee.com.my/ippuni#product_list,EQQUALBERRY Swimming Pool Toner 155ml/300ml / Swimming Pool Ampoule 50ml,442 sold,30.00
1759480126-66,https://shopee.com.my/ippuni#product_list,PINKFLASH E14 Eyebrow Styling Soap,98 sold,9.99
1759480126-67,https://shopee.com.my/ippuni#product_list,FOCALLURE FA13 intense Liquid Waterproof Eyeliner pen,5k+ sold,6.37
1759480126-68,https://shopee.com.my/ippuni#product_list,FOCALLURE FA230 Soft Matte Complete Concealer (5 colour),45 sold,15.18
1759480126-69,https://shopee.com.my/ippuni#product_list,COSRX Full Fit Propolis Synergy Calming Hydrating Toner 50ml/150ml,651 sold,47.70
1759480126-70,https://shopee.com.my/ippuni#product_list,FOCALLURE FA24 Liquid Matte Waterproof Long Lasting Lipstick (7colours),141 sold,8.80
1759480126-71,https://shopee.com.my/ippuni#product_list,FOCALLURE FA82 30 Colours Pan Glitter Shimmer Matte Eyeshadow Palette Endless Possibilites Collection #C30,3 sold,47.53
1759480126-72,https://shopee.com.my/ippuni#product_list,VT Cosmetic Reedle Shot 50/100/300 50ml,606 sold,96.00
1759480126-73,https://shopee.com.my/ippuni#product_list,Axis-Y Penjagaan Kulit Dark Spot Correcting Glow Serum 5ml,2 sold,9.49
1759480126-74,https://shopee.com.my/ippuni#product_list,FOCALLURE FA201 Perfect Base Oil-Control Poreless Matte Loose Powder,90 sold,17.10
1759480126-75,https://shopee.com.my/ippuni#product_list,QXQY Soft Mist Velvet Setting Powder (2 Shades),,25.80
1759480126-76,https://shopee.com.my/ippuni#product_list,Anua Heartleaf 77% Soothing Toner 40/250/500ml [ Soothing+Acne Care+Sebum Care],313 sold,19.80
1759480126-77,https://shopee.com.my/ippuni#product_list,Naturie Hatomugi Skin Conditioner Lotion 500ml (Toner) /Skin Conditioning Gel (Moisturizer)/Skin Conditioning Milk,4k+ sold,29.90
1759480126-78,https://shopee.com.my/ippuni#product_list,SPLOO Kids Foam Soap [Pink/Blue] 200ml | Gentle Shapeable Fun Soft Foam Bubbles Bath Cleanser For Children,252 sold,33.00
1759480126-79,https://shopee.com.my/ippuni#product_list,FOCALLURE FA04 Eyebrow powder (3Types),7k+ sold,9.99
1759480126-80,https://shopee.com.my/ippuni#product_list,PINKFLASH PF E23 Pink Game 3 Pan Giltter Eyeshadow Palette (15 Shades) *New Colour Available*,384 sold,13.20
1759480126-81,https://shopee.com.my/ippuni#product_list,FOCALLURE FA F39 Pro Palette DIY Soft Pigment Blush Blusher (5 kinds),18 sold,9.70
1759480126-82,https://shopee.com.my/ippuni#product_list,BEAUTY OF JOSEON Revive Serum / Glow Serum / Calming Serum / Glow Deep Serum 30ml,4k+ sold,44.23
1759480126-83,https://shopee.com.my/ippuni#product_list,FOCALLURE  FA179 Clay Pillowy Soft Liquid Lipstick（24 Type),385 sold,6.64
1759480126-84,https://shopee.com.my/ippuni#product_list,YELLO Oatmeal Turmeric Mask & Scrub OTMS / Snowmeric Hydra Boost Brightening Serum/OATMINO/Oatellia/Cynara Supple,5k+ sold,29.00
