web-scraper-order,web-scraper-start-url,Name,Units Sold,Price
1759481080-1,https://shopee.com.my/lunabeauty.my#product_list,[TFIT] Cover Up Pro Concealer (6 Colors),895 sold,36.90
1759481080-2,https://shopee.com.my/lunabeauty.my#product_list,[TFIT] Cover Up Pro Concealer (6 Colors),895 sold,36.90
1759481080-3,https://shopee.com.my/lunabeauty.my#product_list,[House of Hur] Moist Ampoule Blusher 10ml/ 20ml,5k+ sold,30.00
1759481080-4,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004] Madagascar Centella Ampoule 30ml/55ml/100ml,3k+ sold,1.00
1759481080-5,https://shopee.com.my/lunabeauty.my#product_list,[Purito Seoul] Mighty Bamboo Panthenol Cleanser 150ml/ Serum 30ml/ Cream 100ml,3k+ sold,76.50
1759481080-6,https://shopee.com.my/lunabeauty.my#product_list,[Purito Seoul] Wonder Releaf Centella Eye Cream 30ml/ Toner 200ml/ Serum 60ml/ Cream 50ml/ Sun Lotion 60ml,1k+ sold,20.46
1759481080-7,https://shopee.com.my/lunabeauty.my#product_list,[Rom&nd] Romand Glasting Melting Balm 3.5g,1k+ sold,25.00
1759481080-8,https://shopee.com.my/lunabeauty.my#product_list,[So Natural] All day tight/ real matte/ water glow/ make up setting fixx,66 sold,40.00
1759481080-9,https://shopee.com.my/lunabeauty.my#product_list,[Rom&nd] Romand Juicy Lasting Tint [No: 1-39],8k+ sold,23.80
1759481080-10,https://shopee.com.my/lunabeauty.my#product_list,"[Studio17] Make Up Tool, Spatula, Brush, Puff, Brush & Puff Cleanser, Tool Set",662 sold,10.50
1759481080-11,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Shaper Pomade Eyebrow Fixer 8.5g / Defining Eyebrow Pencil 0.025g 极细眉笔 眉毛定型膏,1k+ sold,31.31
1759481080-12,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004] Madagascar Centella Tone Brightening Capsule Ampoule 30ml/50ml/100ml,1k+ sold,15.60
1759481080-13,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Heartleaf Pore Control Cleansing Oil 20ml/ 200ml / Mild 200ml,341 sold,13.23
1759481080-14,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Heartleaf Quercetinol Pore Deep/ Succinic Moisture Cleansing Foam 150ml/ Pore Control Cleansing Oil 200ml/ 8 HA,3k+ sold,13.23
1759481080-15,https://shopee.com.my/lunabeauty.my#product_list,[Jumiso] Waterfull Hyaluronic Toner 250ml/ Cream/ Serum/ Sunscreen 50ml/ Cleansing Foam 150ml/ Sunstick 18g,1k+ sold,52.00
1759481080-16,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004] Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 50ml SPF 50+ PA++++,1k+ sold,32.89
1759481080-17,https://shopee.com.my/lunabeauty.my#product_list,[Dinto] Blur-Glowy Mini Lip Tint 1g,291 sold,32.30
1759481080-18,https://shopee.com.my/lunabeauty.my#product_list,[Haruharu Wonder] Black Rice Moisture Airyfit/ Pure Mineral Relief Daily Sunscreen 50ml,1k+ sold,55.99
1759481080-19,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004 ] Madagascar Centella Light Cleansing Oil 200ml/30ml,1k+ sold,24.81
