web-scraper-order,web-scraper-start-url,Name,Units sold,Price
1759477572-1,https://shopee.com.my/marshearbeauty#product_list,Skin1004 Centella Tone Brightening Capsule Ampoule 30ml/100ml,10k+ sold,30.94
1759477572-2,https://shopee.com.my/marshearbeauty#product_list,Medipeel Melanon X Cream 30ml,20k+ sold,53.9
1759477572-3,https://shopee.com.my/marshearbeauty#product_list,3W Clinic Intensive UV Sun Cream / Collagen Sunscreen / Natural Vita Moist / BB Sun Cream SPF50+ PA++ 70ml,300k+ sold,1
1759477572-4,https://shopee.com.my/marshearbeauty#product_list,Axis-Y Dark Spot Correcting Glow Serum 5ml / 50ml,300k+ sold,9.49
1759477572-5,https://shopee.com.my/marshearbeauty#product_list,Always Be Pure Forest Therapy Ultra Calming Cream 80ml / 30ml,60k+ sold,1
1759477572-6,https://shopee.com.my/marshearbeauty#product_list,ANJO Professional 365 Sun Cream SPF50+ PA+++ 70g,100k+ sold,1
1759477572-7,https://shopee.com.my/marshearbeauty#product_list,Dr Althea 345 Relief Cream 50ml,10k+ sold,89
1759477572-8,https://shopee.com.my/marshearbeauty#product_list,Skin1004 Madagascar Centella Hyalu Cica Water Fit Sun Serum SPF50+ PA++++ 15ml/50ml,6k+ sold,31.91
1759477572-9,https://shopee.com.my/marshearbeauty#product_list,Beauty of Joseon Relief Sun : Rice + Probiotics 10ml / 50ml /Matte Sun Stick 18g/ Ginseng Moist Sun Serum SPF50+ PA++++,80k+ sold,8
1759477572-10,https://shopee.com.my/marshearbeauty#product_list,Innisfree Green Tea Hydrating Amino Cleansing Foam 150g (2023 NEW),10k+ sold,15
1759477572-11,https://shopee.com.my/marshearbeauty#product_list,Naturie Hatomugi Skin Conditioner Lotion 500ml / Gel Cream 180g / Conditioning Milk 230ml,30k+ sold,29.01
1759477572-12,https://shopee.com.my/marshearbeauty#product_list,Skin1004 Madagascar Centella Ampoule Foam 20ml / 125ml,10k+ sold,23.18
1759477572-13,https://shopee.com.my/marshearbeauty#product_list,Laneige Water Sleeping Mask 15ml/ Lavender Water Sleeping Mask 15ml/ Cica Sleeping Mask 10ml,30k+ sold,1
1759477572-14,https://shopee.com.my/marshearbeauty#product_list,K-Secret Seoul 1988 Serum : Retinal Liposome 2% + Black Ginseng 30ml,1k+ sold,65
1759477572-15,https://shopee.com.my/marshearbeauty#product_list,Laneige Lip Sleeping Mask 3g/20g (5 types to choose),100k+ sold,1
1759477572-16,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Galactomyces Glutathione / Retinol Intense / Beta Panthenol Daily Mask (30EA),6k+ sold,61.9
1759477572-17,https://shopee.com.my/marshearbeauty#product_list,TO Hyaluronic Acid 2% + B5 / Alpha Arbutin 2% + HA 30ml (CLEARANCE),10k+ sold,30
1759477572-18,https://shopee.com.my/marshearbeauty#product_list,Cosrx Advanced Snail 96 Mucin Power Essence 30ml / 100ml,90k+ sold,18.5
1759477572-19,https://shopee.com.my/marshearbeauty#product_list,Cosrx AHA/BHA Clarifying Treatment Toner 30ml /150ml,50k+ sold,5.9
1759477572-20,https://shopee.com.my/marshearbeauty#product_list,Some By Mi AHA BHA PHA 30 Days Miracle Serum / Miracle Serum Light 50ml,7k+ sold,56.38
1759477572-21,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Snail Truecica Repair Toner 135ml,6k+ sold,24.82
1759477572-22,https://shopee.com.my/marshearbeauty#product_list,Ruruberry 10% Niacinamide + Zinc 5ml / 30ml,10k+ sold,15
1759477572-23,https://shopee.com.my/marshearbeauty#product_list,Anua Heartleaf Pore Control Cleansing Oil (20ml/200ml) / Mild Sensitive Skin (200ml),10k+ sold,12.5
1759477572-24,https://shopee.com.my/marshearbeauty#product_list,Cosrx Low PH Good Morning Gel Cleanser 150ml,100k+ sold,27
1759477572-25,https://shopee.com.my/marshearbeauty#product_list,Skin1004 Madagascar Centella Asiatica 100 Ampoule 30ml / 55ml / 100ml,40k+ sold,32.16
1759477572-26,https://shopee.com.my/marshearbeauty#product_list,Innisfree no sebum mineral powder 5g,80k+ sold,28.9
1759477572-27,https://shopee.com.my/marshearbeauty#product_list,Etude House Dear Darling Water Gel Tint 5g,20k+ sold,18
1759477572-28,https://shopee.com.my/marshearbeauty#product_list,Anua Heartleaf 77% Soothing Toner 40ml / 250ml,20k+ sold,7.92
1759477572-29,https://shopee.com.my/marshearbeauty#product_list,Skin1004 Madagascar Centella Light Cleansing Oil 30ml / 200ml,10k+ sold,25.12
1759477572-30,https://shopee.com.my/marshearbeauty#product_list,Innisfree Green Tea Seed Hyaluronic Serum 15ml / 80ml (2023 NEW),6k+ sold,20
1759477572-31,https://shopee.com.my/marshearbeauty#product_list,Mizon Skin Power Original First Essence 28ml/80ml/210ml,70k+ sold,19.9
1759477572-32,https://shopee.com.my/marshearbeauty#product_list,Laneige Water Sleeping Mask / Lavender / Cica Water Sleeping Mask 70ml,40k+ sold,69
1759477572-33,https://shopee.com.my/marshearbeauty#product_list,Beauty Of Joseon Repair Serum / Glow Serum / Calming / Revive / Glow Deep Serum 30ml,20k+ sold,15
1759477572-34,https://shopee.com.my/marshearbeauty#product_list,Etude House Fixing Tint 4g (8 Colors to choose),30k+ sold,26.9
1759477572-35,https://shopee.com.my/marshearbeauty#product_list,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam / Heartleaf Succinic Moisture Cleansing Foam 150ml,8k+ sold,35.63
1759477572-36,https://shopee.com.my/marshearbeauty#product_list,Etude House My Lash Serum 9g,100k+ sold,1
1759477572-37,https://shopee.com.my/marshearbeauty#product_list,Some By Mi AHA.BHA.PHA 30 Days Miracle Toner 30ml / 150ml,40k+ sold,18
1759477572-38,https://shopee.com.my/marshearbeauty#product_list,The SAEM Cover Perfection Tip Concealer,10k+ sold,1
1759477572-39,https://shopee.com.my/marshearbeauty#product_list,Jumiso Snail Mucin 95 + Peptide Facial Essence 7ml / 140ml,6k+ sold,1
1759477572-40,https://shopee.com.my/marshearbeauty#product_list,IUNIK Centella Calming Gel Cream 15ml / 60ml,90k+ sold,6.5
1759477572-41,https://shopee.com.my/marshearbeauty#product_list,Beauty of Joseon Ginseng Essence Water 40ml / 150ml,20k+ sold,23.26
1759477572-42,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Snail Truecica Miracle Repair Low pH Gel Cleanser 100ml,9k+ sold,39.5
1759477572-43,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Yuja Niacin Anti Blemish Serum 50ml,40k+ sold,56.38
1759477572-44,https://shopee.com.my/marshearbeauty#product_list,Purito Seoul Mighty Bamboo Panthenol Cleanser 150ml,203 sold,48
1759477572-45,https://shopee.com.my/marshearbeauty#product_list,Missha Perfect Cover BB Cream SPF 42++ 50ml,2k+ sold,34.8
1759477572-46,https://shopee.com.my/marshearbeauty#product_list,Axis-Y Complete No Stress Physical Sunscreen V3 (New Version) / Biome Biome Double Defense SPF50+ PA++++ 10ml / 50ml,60k+ sold,15
1759477572-47,https://shopee.com.my/marshearbeauty#product_list,Laneige Water Bank Blue Hyaluronic Cleansing Foam 30g / 150g,10k+ sold,1
1759477572-48,https://shopee.com.my/marshearbeauty#product_list,Etude House Drawing Eye Brow 0.25g,30k+ sold,1
1759477572-49,https://shopee.com.my/marshearbeauty#product_list,Isntree Hyaluronic Acid Watery Sun Gel / Natural Sun Cream / Daily Sun Gel / Airy Sun Stick SPF50+ PA++++ 50ml,20k+ sold,1
1759477572-50,https://shopee.com.my/marshearbeauty#product_list,K-Secret Seoul 1988 Eye Cream : Retinal Liposome 4% + Fermented Bean 30ml,1k+ sold,69
1759477572-51,https://shopee.com.my/marshearbeauty#product_list,Some By Mi AHA BHA PHA 30 Days Miracle Starter Kit / AC SOS Kit,9k+ sold,52.62
1759477572-52,https://shopee.com.my/marshearbeauty#product_list,Eqqualberry Swimming Pool Toner 155ml / 300ml,1k+ sold,45
1759477572-53,https://shopee.com.my/marshearbeauty#product_list,Nature Republic Aloe Vera 92% Soothing Gel 250ml / 300ml,30k+ sold,1
1759477572-54,https://shopee.com.my/marshearbeauty#product_list,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant (Salicylic Acid),6k+ sold,70
1759477572-55,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Snail Truecica Miracle Repair Serum 50ml,20k+ sold,56.38
1759477572-56,https://shopee.com.my/marshearbeauty#product_list,Laneige Cream Skin Refiner 50ml / 170ml (2023 NEW),4k+ sold,25
1759477572-57,https://shopee.com.my/marshearbeauty#product_list,Mise En Scene Perfect Serum Shampoo / Conditioner 680ml,10k+ sold,32
1759477572-58,https://shopee.com.my/marshearbeauty#product_list,Banila Co Clean It Zero Cleansing Balm Trial Kit,50k+ sold,1
1759477572-59,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Yuja Niacin Brightening Moisture Gel Cream 100ml,10k+ sold,37.59
1759477572-60,https://shopee.com.my/marshearbeauty#product_list,Pyunkang Yul Essence Toner 30ml/ 100ml / 200ml,10k+ sold,9.32
1759477572-61,https://shopee.com.my/marshearbeauty#product_list,Axis-Y Dark Spot Correcting Glow Cream 5ml / 50ml,1k+ sold,13.9
1759477572-62,https://shopee.com.my/marshearbeauty#product_list,IUNIK Beta Glucan Daily Moisture Cream 15ml/60ml,30k+ sold,1
1759477572-63,https://shopee.com.my/marshearbeauty#product_list,Mise En Scene Perfect Serum 30ml / 80ml (3 types to choose),30k+ sold,40
1759477572-64,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Yuja Niacin Anti Blemish Starter Kit (4 items),10k+ sold,52.62
1759477572-65,https://shopee.com.my/marshearbeauty#product_list,Cosrx Advanced Snail 92 All In One Cream 100ml,30k+ sold,49.9
1759477572-66,https://shopee.com.my/marshearbeauty#product_list,Purito Seoul Wonder Releaf Centella Serum Unscented 15ml / 60ml,2k+ sold,20
1759477572-67,https://shopee.com.my/marshearbeauty#product_list,VT Cosmetics Reedle Shot 50/100/300/700 50ml,509 sold,87.98
1759477572-68,https://shopee.com.my/marshearbeauty#product_list,Innisfree Auto Eyebrow Pencil 0.3g,20k+ sold,1
1759477572-69,https://shopee.com.my/marshearbeauty#product_list,Benton Aloe Propolis Soothing Gel 12g/100ml (NEW),20k+ sold,1
1759477572-70,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Beta Panthenol Repair Gel Cleanser 120ml / Repair Toner 150ml / Repair Serum 30ml / Repair Cream 50ml,1k+ sold,48.87
1759477572-71,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Yuja Niacin Anti Blemish Cream 15g / 60g,30k+ sold,48.9
1759477572-72,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Truecica Mineral Calming Tone Up / Aqua Calming Suncream SPF50+ PA++++ 50ml,10k+ sold,45.11
1759477572-73,https://shopee.com.my/marshearbeauty#product_list,Laneige Cream Skin Refiner 15ml / 25ml / 50ml,30k+ sold,1
1759477572-74,https://shopee.com.my/marshearbeauty#product_list,Beauty of Joseon Red Bean Refreshing Pore Mask 140ml / Red Bean Water Gel 100ml,2k+ sold,52.73
1759477572-75,https://shopee.com.my/marshearbeauty#product_list,Innisfree bija trouble facial foam 150ml,10k+ sold,29.9
1759477572-76,https://shopee.com.my/marshearbeauty#product_list,Torriden Dive In Low Molecular Hyaluronic Acid Serum / Multi Pad / Toner / Skin Booster / Cleansing Foam,4k+ sold,47.6
1759477572-77,https://shopee.com.my/marshearbeauty#product_list,Cetaphil Gentle Skin Cleanser For All Skin Types 125ml/250ml/500ml/(Twin Pack 500ml x2),3k+ sold,28.5
1759477572-78,https://shopee.com.my/marshearbeauty#product_list,Total Image Smelly No More Deodorant Spray 75ml,3k+ sold,28.9
1759477572-79,https://shopee.com.my/marshearbeauty#product_list,Benton Aloe BHA Skin Toner 20ml/200ml,10k+ sold,8.9
1759477572-80,https://shopee.com.my/marshearbeauty#product_list,Skin1004 Centella Poremizing Fresh Ampoule 100ml,1k+ sold,75.9
1759477572-81,https://shopee.com.my/marshearbeauty#product_list,Purito Seoul Wonder Releaf Centella Cream Unscented 15ml / 50ml,359 sold,19.8
1759477572-82,https://shopee.com.my/marshearbeauty#product_list,Missha Magic Cushion SPF50 PA ++ (4 types to choose),4k+ sold,26.55
1759477572-83,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Yuja Niacin Brightening Toner 150ml,10k+ sold,45.11
1759477572-84,https://shopee.com.my/marshearbeauty#product_list,Anjo 365 Sun BB Cream SPF 50+ PA++++ 50g,7k+ sold,13.9
1759477572-85,https://shopee.com.my/marshearbeauty#product_list,"Anua Heartleaf 77 Clear Pad (70pads, 160ml) (EXP OCT 2026)",4k+ sold,40
1759477572-86,https://shopee.com.my/marshearbeauty#product_list,Some By Mi Real Care Sheet Mask (1 Sheet),90k+ sold,1
1759477572-87,https://shopee.com.my/marshearbeauty#product_list,Innisfree Blueberry Rebalancing 5.5 Cleanser 100ml,20k+ sold,22
