web-scraper-order,web-scraper-start-url,Name,Units Sold,Price
1759481302-1,https://shopee.com.my/yeoshinbeauty#product_list,Daughters of Malaya Summertime Ceramide Liquid Moisturizer 50ml/ 185ml,4k+ sold,59.00
1759481302-2,https://shopee.com.my/yeoshinbeauty#product_list,Daughters of Malaya Summertime Ceramide Liquid Moisturizer 50ml/ 185ml,4k+ sold,59.00
1759481302-3,https://shopee.com.my/yeoshinbeauty#product_list,Tatagaltier Bulaney Treatment Essence / Toner / Serum / Cleansing Gel / Cream / Sun Shield / Acne Patch,20k+ sold,39.00
1759481302-4,https://shopee.com.my/yeoshinbeauty#product_list,Tatagaltier Bulaney Treatment Essence 40ml / 100ml,1k+ sold,39.00
1759481302-5,https://shopee.com.my/yeoshinbeauty#product_list,ANJO 365 Sun Cream / BB Cream SPF50+ PA+++,4k+ sold,1.00
1759481302-6,https://shopee.com.my/yeoshinbeauty#product_list,Daughters Of Malaya Moisturizer/ Spot Lotion/ Serum/Cleanser/ Sunscreen,1k+ sold,35.00
1759481302-7,https://shopee.com.my/yeoshinbeauty#product_list,Pramy Moisturizing Makeup Setting Spray 30ml / 65ml / 100ml - Matte Finish,56 sold,25.65
1759481302-8,https://shopee.com.my/yeoshinbeauty#product_list,TIRTIR Mask Fit All Cover Cushion 18g,62 sold,86.66
1759481302-9,https://shopee.com.my/yeoshinbeauty#product_list,TIRTIR Mask Fit Red Cushion 4.5g (MINI) / 18g,5k+ sold,51.82
1759481302-10,https://shopee.com.my/yeoshinbeauty#product_list,Kayman Coalface Soap/CoalBerry Cleanser/Mist Toner/ Honeyglo Scrub/Moisturizer/Cleansing Sherbet/Serum/Essence/UV Milk,4k+ sold,35.00
1759481302-11,https://shopee.com.my/yeoshinbeauty#product_list,Skin1004 Madagascar Centella Asiatica 100 Ampoule 7.5ml /30ml / 55ml / 100ml,7k+ sold,29.25
1759481302-12,https://shopee.com.my/yeoshinbeauty#product_list,K-SECRET SEOUL 1988 Serum Retinal Liposome 2% + Black Ginseng / Eye Cream: Retinal Liposome 4% + Fermented Bean 30ml,108 sold,64.27
1759481302-13,https://shopee.com.my/yeoshinbeauty#product_list,SKIN1004 Madagascar Centella Series,683 sold,48.99
1759481302-14,https://shopee.com.my/yeoshinbeauty#product_list,Axis-Y Dark Spot Correcting Glow Serum 5ml / 7.5ml / 50ml,20k+ sold,8.21
1759481302-15,https://shopee.com.my/yeoshinbeauty#product_list,Skin1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50+ PA++++ 15ML /50ML / Twin Pack / Sun Stick 20g,873 sold,22.22
