web-scraper-order,web-scraper-start-url,Product Name,Units sold,Price
1759477013-1,https://shopee.ph/kbeautycafe#product_list,Dr. Althea 345 Relief Cream / 147 Barrier Cream,4.97K+ sold,"1,190"
1759477013-2,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Swimming Pool Toner,5.03K+ sold,639
1759477013-3,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Revive Eye Serum: Ginseng + Retinal,4.98K+ sold,799
1759477013-4,https://shopee.ph/kbeautycafe#product_list,The Ordinary Glycolic Acid 7% Exfoliating Toner (Deciem) | Niacinamide [READ DESCRIPTION],4.98K+ sold,635
1759477013-5,https://shopee.ph/kbeautycafe#product_list,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml,4.92K+ sold,310
1759477013-6,https://shopee.ph/kbeautycafe#product_list,Purito Mighty Bamboo Panthenol Cream 100ml,4.9886 sold,960
1759477013-7,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Relief Sun (Sunscreen),4.94K+ sold,190
1759477013-8,https://shopee.ph/kbeautycafe#product_list,Anua Heartleaf 77% Soothing Toner,4.97K+ sold,310
1759477013-9,https://shopee.ph/kbeautycafe#product_list,Frankly Closer Pore Reducing Serum 10ml | 30ml | 60ml,5.0158 sold,170
1759477013-10,https://shopee.ph/kbeautycafe#product_list,the SAEM Cover Perfection Tip Concealer SPF 28/PA++,4.910K+ sold,230
1759477013-11,https://shopee.ph/kbeautycafe#product_list,"The Ordinary Bestsellers (Niacinamide, Retinol, Arbutin, Glycolic Acid, Caffeine, Buffet)",4.93K+ sold,635
1759477013-12,https://shopee.ph/kbeautycafe#product_list,Laneige Lip Sleeping Mask (Mini) 3g,4.94K+ sold,235
1759477013-13,https://shopee.ph/kbeautycafe#product_list,Anua Azelaic Acid 10 Hyaluron Redness Soothing Serum 30ml,4.93K+ sold,990
1759477013-14,https://shopee.ph/kbeautycafe#product_list,Skin1004 Madagascar Centella Ampoule Foam,5.0551 sold,345
