web-scraper-order,web-scraper-start-url,Name,Units sold,Price
1759476777-1,https://shopee.ph/seekspace#product_list,MINI Micronized Benzoyl Peroxide 2.5% 5g,6K+ sold,150
1759476777-2,https://shopee.ph/seekspace#product_list,ANUA Azelaic Acid 10+ Hyaluron Redness Soothing Serum 30mL,518 sold,899
1759476777-3,https://shopee.ph/seekspace#product_list,FRANKLY Closer Pore Reducing Peptide Serum 30ml,254 sold,349
1759476777-4,https://shopee.ph/seekspace#product_list,FRANKLY Retinol 0.1% Wrinkle Repair Cream 30ml,789 sold,362
1759476777-5,https://shopee.ph/seekspace#product_list,FRANKLY AHA 8.05% Toner 100ml,3K+ sold,346
1759476777-6,https://shopee.ph/seekspace#product_list,ISNTREE (SAMPLE) Mugwort Calming Clay Mask 3ml,2K+ sold,30
1759476777-7,https://shopee.ph/seekspace#product_list,ISNTREE (MINI) Green Tea Fresh Toner 20ml,3K+ sold,95
1759476777-8,https://shopee.ph/seekspace#product_list,ISNTREE (MINI) Hyaluronic Acid Watery Sun Gel SPF 50+ PA++++ 10ml,10K+ sold,99
1759476777-9,https://shopee.ph/seekspace#product_list,FRANKLY Cicahae Sun SPF 50+ PA++++ 50ml,737 sold,388
1759476777-10,https://shopee.ph/seekspace#product_list,ISNTREE (MINI) Green Tea Fresh Cleanser 20ml,3K+ sold,95
1759476777-11,https://shopee.ph/seekspace#product_list,ISNTREE (MINI) Onion Newpair Sunscreen SPF 40 PA+++ 10ml,104 sold,89
1759476777-12,https://shopee.ph/seekspace#product_list,NINELESS A-Control 10% Azelaic Acid Serum 30ml,296 sold,549
1759476777-13,https://shopee.ph/seekspace#product_list,IUNIK (SAMPLE) Tea Tree Relief Serum 1.5ml,2K+ sold,20
1759476777-14,https://shopee.ph/seekspace#product_list,IUNIK (SAMPLE) Calendula Complete Cleansing Oil 3ml,4K+ sold,20
1759476777-15,https://shopee.ph/seekspace#product_list,iUNIK (SAMPLE) Centella Calming Daily Sunscreen SPF 50+ PA++++ 2ml,621 sold,30
1759476777-16,https://shopee.ph/seekspace#product_list,ISNTREE Green Tea Fresh Toner 200ml,2K+ sold,499
1759476777-17,https://shopee.ph/seekspace#product_list,GLOW MONSTER Centella Essence + Niacinamide 250mL,4K+ sold,524
1759476777-18,https://shopee.ph/seekspace#product_list,ISNTREE (SAMPLE) Hyaluronic Acid Aqua Gel Cream 2ml,1K+ sold,30
1759476777-19,https://shopee.ph/seekspace#product_list,KAINE Rosemary Relief Gel Cleanser 150ml,1K+ sold,549
1759476777-20,https://shopee.ph/seekspace#product_list,FRANKLY Sunday Glow Serum 5% Niacinamide 37ml,3K+ sold,329
1759476777-21,https://shopee.ph/seekspace#product_list,ISNTREE (SAMPLE) Hyaluronic Watery Sun Gel SPF 50+ PA++++ 2ml,853 sold,40
1759476777-22,https://shopee.ph/seekspace#product_list,iUNIK Centella Bubble Cleansing Foam 150ml,1K+ sold,549
1759476777-23,https://shopee.ph/seekspace#product_list,DR. ALTHEA 147 Barrier Cream 50mL,11 sold,849
1759476777-24,https://shopee.ph/seekspace#product_list,CosRX Clear Fit Master Patch 18 Patches [EXP: 05/2026],646 sold,130
1759476777-25,https://shopee.ph/seekspace#product_list,CLEARUP Clearing Gel Micronized Benzoyl Peroxide 2.5% 60g,16 sold,999
1759476777-26,https://shopee.ph/seekspace#product_list,ISNTREE Hyaluronic Acid Watery Sun Gel SPF 50+ PA++++ 50ml,902 sold,599
1759476777-27,https://shopee.ph/seekspace#product_list,ISNTREE C-Niacin Toning Ampoule 50mL,1K+ sold,558
1759476777-28,https://shopee.ph/seekspace#product_list,AXIS-Y Mugwort Pore Clarifying Wash Off Pack 50ML,53 sold,362
1759476777-29,https://shopee.ph/seekspace#product_list,KAINE (MINI) Rosemary Relief Gel Cleanser 30ml,141 sold,120
1759476777-30,https://shopee.ph/seekspace#product_list,ISNTREE Chestnut 8% AHA Essence 100mL,4K+ sold,449
1759476777-31,https://shopee.ph/seekspace#product_list,APLB Azelaic Acid Peptide Ampoule Serum 40mL,2 sold,449
1759476777-32,https://shopee.ph/seekspace#product_list,ISNTREE Hyaluronic Acid Aqua Gel Cream 100ml,1K+ sold,599
1759476777-33,https://shopee.ph/seekspace#product_list,FRANKLY PDRN Bounce Ball Serum 30mL,2 sold,572
1759476777-34,https://shopee.ph/seekspace#product_list,ISNTREE Mugwort Calming Clay Mask 100ml,689 sold,568
1759476777-35,https://shopee.ph/seekspace#product_list,IUNIK (SAMPLE) Propolis Vitamin Synergy Serum Sachet 1.5ml,1K+ sold,20
1759476777-36,https://shopee.ph/seekspace#product_list,ISNTREE (SAMPLE) Green Tea Fresh Cleanser 2mL,275 sold,20
1759476777-37,https://shopee.ph/seekspace#product_list,iUNIK Propolis Vitamin Synergy Serum 50ml,432 sold,649
1759476777-38,https://shopee.ph/seekspace#product_list,iUNIK Centella Calming Daily Sunscreen SPF 50+ PA++++ 60ml,612 sold,549
1759476777-39,https://shopee.ph/seekspace#product_list,FRANKLY Vitamin C 21% Concentrated Brightening Serum 15ml,105 sold,349
1759476777-40,https://shopee.ph/seekspace#product_list,IUNIK Centella Mild Cleansing Foam 120ml,387 sold,478
1759476777-41,https://shopee.ph/seekspace#product_list,ISNTREE Hyaluronic Acid Low-pH Cleansing Foam 150mL,5K+ sold,513
1759476777-42,https://shopee.ph/seekspace#product_list,ISNTREE Hyaluronic Acid Moist Cream 100mL,294 sold,599
1759476777-43,https://shopee.ph/seekspace#product_list,ISNTREE (SAMPLE) Chestnut 8% AHA Essence 2ml,636 sold,30
1759476777-44,https://shopee.ph/seekspace#product_list,Isntree Onion Newpair Spot Patch Basic 24 Patches,999 sold,130
1759476777-45,https://shopee.ph/seekspace#product_list,ISNTREE Green Tea Fresh Cleanser 120ml,391 sold,499
1759476777-46,https://shopee.ph/seekspace#product_list,ISNTREE Hyaluronic Acid Toner 200mL,654 sold,549
1759476777-47,https://shopee.ph/seekspace#product_list,NINELESS Molecule-Clear 5% Mandelic Acid Serum 30ml,4 sold,499
1759476777-48,https://shopee.ph/seekspace#product_list,iUNIK Beta Glucan Daily Moisture Cream 60ml,384 sold,689
1759476777-49,https://shopee.ph/seekspace#product_list,NINELESS MELA-PRO 5% Tranexamic Acid Serum 30ml,69 sold,599
1759476777-50,https://shopee.ph/seekspace#product_list,NINELESS B-Boost 1% Kojic Acid Serum 30ml,71 sold,599
1759476777-51,https://shopee.ph/seekspace#product_list,NINELESS Molecule-Clear 5% Lactic Acid Serum 30ml,,499
1759476777-52,https://shopee.ph/seekspace#product_list,KAINE (MINI) Kombu Balancing Ampoule Toner 30ml,64 sold,117
1759476777-53,https://shopee.ph/seekspace#product_list,TOCOBO Cica Cooling Sun Stick SPF50+ PA++++ 19g,1 sold,549
1759476777-54,https://shopee.ph/seekspace#product_list,ISNTREE Chestnut BHA 0.9% Clear Toner 200mL,1K+ sold,561
1759476777-55,https://shopee.ph/seekspace#product_list,ISNTREE GIM PDRN Hydro Bouncy Ampoule 50mL,,649
1759476777-56,https://shopee.ph/seekspace#product_list,ISNTREE Chestnut BHA 2% Clear Liquid 100ml,343 sold,480
1759476777-57,https://shopee.ph/seekspace#product_list,ISNTREE (SAMPLE) Onion Newpair Gel Cream 2ml,185 sold,30
1759476777-58,https://shopee.ph/seekspace#product_list,ISNTREE Mugwort Calming Deep Cleansing Balm 100ml,31 sold,549
1759476777-59,https://shopee.ph/seekspace#product_list,IUNIK Tea Tree Relief Toner 200mL,715 sold,629
1759476777-60,https://shopee.ph/seekspace#product_list,IUNIK (SAMPLE) Black Snail Restore Serum 1.5ml,499 sold,20
1759476777-61,https://shopee.ph/seekspace#product_list,ISNTREE Mugwort Calming Ampoule 50mL,4K+ sold,714
1759476777-62,https://shopee.ph/seekspace#product_list,TOCOBO Cotton Soft Sun Stick SPF 50+ PA++++ 19g,3 sold,549
1759476777-63,https://shopee.ph/seekspace#product_list,IUNIK Centella Green Fresh Cleansing Oil 200ml,72 sold,699
1759476777-64,https://shopee.ph/seekspace#product_list,ISNTREE Hyaluronic Acid Natural Sun Cream SPF 50+ PA++++ 50ml,409 sold,629
1759476777-65,https://shopee.ph/seekspace#product_list,NINELESS Molecule-Clear Salicylic Acid Serum 30mL,2 sold,499
1759476777-66,https://shopee.ph/seekspace#product_list,APLB Spicule Retinol Shot 180 Serum 40mL,,449
1759476777-67,https://shopee.ph/seekspace#product_list,APLB Bakuchiol Propolis Ampoule Serum 40mL,,494
1759476777-68,https://shopee.ph/seekspace#product_list,ISNTREE Mugwort Calming Deep Cleansing Oil 200ML,46 sold,599
1759476777-69,https://shopee.ph/seekspace#product_list,KAINE Rosemary AHA Night Serum 30ml,28 sold,449
1759476777-70,https://shopee.ph/seekspace#product_list,ISNTREE Onion Fresh Fluid Sun Cream SPF 50+ PA++++ 50ml,59 sold,649
1759476777-71,https://shopee.ph/seekspace#product_list,Isntree Onion Newpair Spot Patch Skin Fit - 15 Patches,758 sold,130
1759476777-72,https://shopee.ph/seekspace#product_list,ISNTREE Hyper Retinol Ex 1.0 Serum 20ml,72 sold,572
1759476777-73,https://shopee.ph/seekspace#product_list,ISNTREE Hyaluronic Acid Water Sleeping Mask 100ml,51 sold,568
1759476777-74,https://shopee.ph/seekspace#product_list,ISNTREE Hyper Vitamin C23 Serum 20ml,76 sold,572
1759476777-75,https://shopee.ph/seekspace#product_list,ISNTREE Yam Root Vegan Milk Toner 200ml,21 sold,599
1759476777-76,https://shopee.ph/seekspace#product_list,ISNTREE Onion Newpair Essence Toner 200ml,91 sold,649
