web-scraper-order,web-scraper-start-url,Name,Units Sold,Price
1759720022-1,https://shopee.co.th/beautrium_official#product_list,ACQUA Distillata Alle Rose Toner โทนเนอร์ 300ml,447 sold,299
1759720022-2,https://shopee.co.th/beautrium_official#product_list,NATURISTA White Tea Facial Cleanser ผลิตภัณฑ์ทำความสะอาดผิวหน้า 300ml,73 sold,99
1759720022-3,https://shopee.co.th/beautrium_official#product_list,PLANTNERY Tea Tree Acne Whip Foam ผลิตภัณฑ์ทำความสะอาดผิวหน้า 100g,141 sold,114
1759720022-4,https://shopee.co.th/beautrium_official#product_list,FRESHMENT Soothing And Moisture Aloe Vera Gel Plus เจลว่านหาง 100ml,206 sold,89
1759720022-5,https://shopee.co.th/beautrium_official#product_list,THE SKIN COLLECTION Niacinamide10% + NAG8% ผลิตภัณฑ์บำรุงผิวหน้า 30ml,2k+ sold,139
1759720022-6,https://shopee.co.th/beautrium_official#product_list,NATURISTA Tea Tree Facial Cleanser ผลิตภัณฑ์ทำความสะอาดผิวหน้า 300ml,1k+ sold,89
1759720022-7,https://shopee.co.th/beautrium_official#product_list,VISTRA Salmon Fish Oil 1000mg ผลิตภัณฑ์เสริมอาหาร 20 tablets,20k+ sold,63
1759720022-8,https://shopee.co.th/beautrium_official#product_list,KISAA Overnight Bright And Radiant Sleeping Mask มาส์ก 50ml,469 sold,214
1759720022-9,https://shopee.co.th/beautrium_official#product_list,AM HERB Kombucha Skin Treatment Facial Cleansing Gel ผลิตภัณฑ์ทำความสะอาดผิวหน้า 100g,3k+ sold,129
1759720022-10,https://shopee.co.th/beautrium_official#product_list,VISTRA Gotu Kola Extract Plus Zinc ผลิตภัณฑ์เสริมอาหาร 14 capsules,9k+ sold,95
1759720022-11,https://shopee.co.th/beautrium_official#product_list,MAYBELLINE NEW YORK Fit Me Matte+Poreless 16H Oil Control Powder แป้งพัฟ 6g,10k+ sold,99
1759720022-12,https://shopee.co.th/beautrium_official#product_list,VISTRA Marine Collagen 1300 ผลิตภัณฑ์เสริมอาหาร 20 tablets,10k+ sold,175
1759720022-13,https://shopee.co.th/beautrium_official#product_list,CETAPHIL Bright Healthy Radiance Brightness Refresh Toner โทนเนอร์ 150ml,60 sold,500
1759720022-14,https://shopee.co.th/beautrium_official#product_list,KISAA Moisturizing & Renewal Cream ผลิตภัณฑ์บำรุงผิวหน้า 50ml,517 sold,214
1759720022-15,https://shopee.co.th/beautrium_official#product_list,MERCI Vitamin C Serum เซรั่ม 4g,781 sold,59
1759720022-16,https://shopee.co.th/beautrium_official#product_list,LALIO Tea Tree Anti Acne Cream บำรุงผิวหน้า 80ml,67 sold,69
1759720022-17,https://shopee.co.th/beautrium_official#product_list,PLANTNERY Pomegranate Sleeping Mask มาส์กครีม 50g,33 sold,169
1759720022-18,https://shopee.co.th/beautrium_official#product_list,KA Baby White Serum Shot เซรั่ม 35ml,9 sold,239
1759720022-19,https://shopee.co.th/beautrium_official#product_list,VISTRA Grape Seed ผลิตภัณฑ์เสริมอาหาร 20 capsules,3k+ sold,150
1759720022-20,https://shopee.co.th/beautrium_official#product_list,VISTRA Bilberry Plus Lutein ผลิตภัณฑ์เสริมอาหาร 14 capsules,2k+ sold,145
1759720022-21,https://shopee.co.th/beautrium_official#product_list,MEDIHEAL Labocare Pantenolips Healssence ลิปบาล์ม 10ml,559 sold,99
1759720022-22,https://shopee.co.th/beautrium_official#product_list,BANOBAGI Vita Genic Jelly Mask มาส์กแผ่น 30ml,10k+ sold,49
1759720022-23,https://shopee.co.th/beautrium_official#product_list,LUCIDO After Shave Lotion โลชั่นปรับสภาพผิวหลังโกนหนวด 125ml,5k+ sold,220
1759720022-24,https://shopee.co.th/beautrium_official#product_list,SCHICK Intuition มีดโกนสำหรับผู้หญิง,4k+ sold,199
1759720022-25,https://shopee.co.th/beautrium_official#product_list,SHOKUBUTSU MONOGATARI Shower Cream Refill ครีมอาบน้ำ 500ml,2k+ sold,59
1759720022-26,https://shopee.co.th/beautrium_official#product_list,LEADERS Mask แผ่นมาส์กหน้า 28ml,8k+ sold,29
1759720022-27,https://shopee.co.th/beautrium_official#product_list,JM SOLUTION Selfie Barrier Mask มาส์กแผ่น 30ml,6k+ sold,29
1759720022-28,https://shopee.co.th/beautrium_official#product_list,AMARIT Zinc ผลิตภัณฑ์เสริมอาหาร 30capsules,580 sold,89
1759720022-29,https://shopee.co.th/beautrium_official#product_list,AMARIT Daily C Vitamin C ผลิตภัณฑ์เสริมอาหาร 30capsules,810 sold,89
1759720022-30,https://shopee.co.th/beautrium_official#product_list,AMARIT Grape Seed Extract ผลิตภัณฑ์เสริมอาหาร 30capsules,502 sold,89
1759720022-31,https://shopee.co.th/beautrium_official#product_list,NATURISTA Rose Facial Cleanser ผลิตภัณฑ์ทำความสะอาดผิวหน้า 300ml,71 sold,99
1759720022-32,https://shopee.co.th/beautrium_official#product_list,TROPICANA 100% Organic Cold-Pressed Virgin Coconut Oil น้ำมันมะพร้าวสกัดเย็น 100ml,66 sold,100
1759720022-33,https://shopee.co.th/beautrium_official#product_list,THE SKIN COLLECTION AHA10% + BHA2% ผลิตภัณฑ์บำรุงผิวหน้า 30ml,427 sold,159
1759720022-34,https://shopee.co.th/beautrium_official#product_list,TERESIA Premium Gold Snail Nutrition Cleansing Foam ผลิตภัณฑ์ทำความสะอาดผิวหน้า 150g,28 sold,114
1759720022-35,https://shopee.co.th/beautrium_official#product_list,VISTRA Zinc 15mg ผลิตภัณฑ์เสริมอาหาร 20 capsules,30k+ sold,95
1759720022-36,https://shopee.co.th/beautrium_official#product_list,VISTRA B Complex Plus Minerals ผลิตภัณฑ์เสริมอาหาร 14 tablets,5k+ sold,85
1759720022-37,https://shopee.co.th/beautrium_official#product_list,FAITH IN FACE Truly Cleansing Water ที่เช็ดเครื่องสำอาง 500ml,4k+ sold,184
1759720022-38,https://shopee.co.th/beautrium_official#product_list,NEUTROGENA Alcohol-Free Toner โทนเนอร์ 150ml,34 sold,199
1759720022-39,https://shopee.co.th/beautrium_official#product_list,VISTRA Acerola Cherry ผลิตภัณฑ์เสริมอาหาร 20 tablets,10k+ sold,259
1759720022-40,https://shopee.co.th/beautrium_official#product_list,KARISMA Cotton Round Pads สำลี 80 pads,2k+ sold,40
1759720022-41,https://shopee.co.th/beautrium_official#product_list,SKYNLAB Premium Fresh Smile Toothpaste ยาสีฟัน 160g,276 sold,159
1759720022-42,https://shopee.co.th/beautrium_official#product_list,ROJUKISS Poreless 5X Intensive Mask มาส์กหน้า 25ml,40k+ sold,33
1759720022-43,https://shopee.co.th/beautrium_official#product_list,EVIAN Facial Spray สเปรย์น้ำแร่ 50ml,267 sold,189
1759720022-44,https://shopee.co.th/beautrium_official#product_list,BANOBAGI Final Sleeping Mask สลีปปิ้งมาส์ก 23ml,7k+ sold,50
1759720022-45,https://shopee.co.th/beautrium_official#product_list,VISTRA Collagen Dipeptide Plus Vitamin C ผลิตภัณฑ์เสริมอาหาร 14 tablets,929 sold,155
1759720022-46,https://shopee.co.th/beautrium_official#product_list,INTIMI Feminine Intimate Wash ผลิตภัณฑ์ทำความสะอาดจุดซ่อนเร้น 100ml,91 sold,179
1759720022-47,https://shopee.co.th/beautrium_official#product_list,VISTRA Coenzyme Q10 ผลิตภัณฑ์เสริมอาหาร 30 capsules,907 sold,169
1759720022-48,https://shopee.co.th/beautrium_official#product_list,HADABIREI Whitening Essence Lotion ผลิตภัณฑ์บำรุงผิวหน้า 180ml,910 sold,129
1759720022-49,https://shopee.co.th/beautrium_official#product_list,HADABIREI Acne Care Essence Lotion ผลิตภัณฑ์บำรุงผิวหน้า 180ml,190 sold,129
1759720022-50,https://shopee.co.th/beautrium_official#product_list,IN2IT Skin Hya - Cica Mild Skin Mist สเปรย์บำรุงผิวหน้า 50ml,99 sold,149
1759720022-51,https://shopee.co.th/beautrium_official#product_list,THE SKIN COLLECTION Argireline 10% ผลิตภัณฑ์บำรุงผิวหน้า 30ml,70 sold,199
1759720022-52,https://shopee.co.th/beautrium_official#product_list,EUCERIN Hyaluron Mist Spray สเปรย์บำรุงผิวหน้า 50ml,1k+ sold,198
1759720022-53,https://shopee.co.th/beautrium_official#product_list,SKIN1004 Madagascar Centella Ampoule Foam ผลิตภัณฑ์ทำความสะอาดผิวหน้า 125ml,135 sold,399
1759720022-54,https://shopee.co.th/beautrium_official#product_list,ZACT Stain Fighter Toothpaste ยาสีฟัน 160g,28 sold,60
1759720022-55,https://shopee.co.th/beautrium_official#product_list,YOKO Spa Milk Salt สครับผิวกาย 50g,1k+ sold,12
1759720022-56,https://shopee.co.th/beautrium_official#product_list,KLEAN & KARE Normal Kare น้ำเกลือ,764 sold,42
1759720022-57,https://shopee.co.th/beautrium_official#product_list,ORA2 Me Aroma Active Berry Mint Toothpaste ยาสีฟัน 130g,15 sold,145
1759720022-58,https://shopee.co.th/beautrium_official#product_list,SYSTEMA OD S แปรงสีฟัน 3pcs BEAUTRIUM,149 sold,159
1759720022-59,https://shopee.co.th/beautrium_official#product_list,XCUTEME Xtra Damage Leave In Cream ลีฟออนบำรุงผม 30ml,6k+ sold,25
1759720022-60,https://shopee.co.th/beautrium_official#product_list,4U2 COSMETICS Skin Gentle Deep Cleansing Foam ผลิตภัณฑ์ทำความสะอาดผิวหน้า 120ml,15 sold,199
1759720022-61,https://shopee.co.th/beautrium_official#product_list,LOVELY LENS Sole 2 Tone Brown Blister คอนแทคเลนส์,27 sold,199
1759720022-62,https://shopee.co.th/beautrium_official#product_list,SNP Prep Cicaronic Daily Mask มาส์กแผ่น 20ml,48 sold,23
1759720022-63,https://shopee.co.th/beautrium_official#product_list,WELCARE Medical Face Mask Level 2 White หน้ากากอนามัย 50pcs,1k+ sold,125
1759720022-64,https://shopee.co.th/beautrium_official#product_list,L'ORÉAL PARIS Glycolic-Bright Glowing Cream Night ผลิตภัณฑ์บำรุงผิวหน้า 15ml,152 sold,169
1759720022-65,https://shopee.co.th/beautrium_official#product_list,WELCARE 3 Ply Disposable Medical Face Mask หน้ากาก 50pcs,1k+ sold,125
