web-scraper-order,web-scraper-start-url,Name,Units Sold,Price
1759721426-1,https://shopee.co.th/multyshopping#product_list,The Saem Cover Perfection Tips Concealer 6.5 ml. คอนซีลเลอร์เนื้อลิควิด ปกปิดริ้วรอย จุดด่างดำ รอยสิว,30k+ sold,39
1759721426-2,https://shopee.co.th/multyshopping#product_list,Kage Syrup Glossy Lips 9g. ลิปกลอส,3k+ sold,199
1759721426-3,https://shopee.co.th/multyshopping#product_list,Rom&nd The Juicy Lasting Tint 3.5 g.แพคเกจใหม่,3k+ sold,239
1759721426-4,https://shopee.co.th/multyshopping#product_list,Rom&nd-Better Than Palette Secret Garden พาเลทอายแชโดว์เนื้อแมตต์ ชิมเมอร์,10k+ sold,400
1759721426-5,https://shopee.co.th/multyshopping#product_list,JM Solution Selfie Barrier Mask 30 ml. มาส์กแผ่นบำรุงผิวหน้า,7k+ sold,28
1759721426-6,https://shopee.co.th/multyshopping#product_list,Rom&nd-Glasting Color Gloss 6 Colors 4g. ลิปลิซ่า ลิปกลอส,8k+ sold,149
1759721426-7,https://shopee.co.th/multyshopping#product_list,Atopalm-Soothing Gel Lotion 120ml. โลชั่นบำรุงผิวหน้าและผิวกาย,10k+ sold,390
1759721426-8,https://shopee.co.th/multyshopping#product_list,HuinGom Micellar Cleansing Hydro Boost Cleanser 500 ml.,880 sold,229
1759721426-9,https://shopee.co.th/multyshopping#product_list,Anua Heartleaf Quercetinol Pore Deep Cleanser Foam 150 ml.,3k+ sold,299
1759721426-10,https://shopee.co.th/multyshopping#product_list,Anua Heartleaf 77% Soothing Toner โทนเนอร์พี่จุน ลดสิวผด ผิวแสบแดง ปรับสมดุลผิว,30k+ sold,200
1759721426-11,https://shopee.co.th/multyshopping#product_list,Kage-Filter Blush บลัชเนื้อครีม ฟิลเตอร์บลัช สีชัด,10k+ sold,159
1759721426-12,https://shopee.co.th/multyshopping#product_list,La Glace Mini Ideal Corrector 2 g.คอเรคเตอร์ปกปิดความคล้ำ,6 sold,69
1759721426-13,https://shopee.co.th/multyshopping#product_list,Rom&nd Dewy Ful Water Tint ลิปทินท์เนื้อดิวอี้ ลิปทินท์ฉ่ำวาว สีชัด ทาง่าย,4k+ sold,149
1759721426-14,https://shopee.co.th/multyshopping#product_list,HuinGom Fluffy Air Facial Cotton Pad 120 g.,251 sold,89
